Entity,Code,Day,Monthly concentration of atmospheric carbon dioxide,Rolling yearly average of the concentration of atmospheric carbon dioxide
World,OWID_WRL,1979-01-15,336.56,
World,OWID_WRL,1979-02-15,337.29,
World,OWID_WRL,1979-03-15,337.88,
World,OWID_WRL,1979-04-15,338.32,
World,OWID_WRL,1979-05-15,338.26,
World,OWID_WRL,1979-06-15,337.38,
World,OWID_WRL,1979-07-15,335.56,
World,OWID_WRL,1979-08-15,334.36,
World,OWID_WRL,1979-09-15,335.02,
World,OWID_WRL,1979-10-15,336.36,
World,OWID_WRL,1979-11-15,337.36,
World,OWID_WRL,1979-12-15,337.89,336.85333
World,OWID_WRL,1980-01-15,338.57,337.02084
World,OWID_WRL,1980-02-15,339.26,337.185
World,OWID_WRL,1980-03-15,339.59,337.3275
World,OWID_WRL,1980-04-15,339.99,337.46667
World,OWID_WRL,1980-05-15,340.44,337.64832
World,OWID_WRL,1980-06-15,339.99,337.86584
World,OWID_WRL,1980-07-15,338.44,338.10583
World,OWID_WRL,1980-08-15,337.21,338.34332
World,OWID_WRL,1980-09-15,337.05,338.5125
World,OWID_WRL,1980-10-15,337.83,338.635
World,OWID_WRL,1980-11-15,338.93,338.76584
World,OWID_WRL,1980-12-15,339.64,338.91165
World,OWID_WRL,1981-01-15,340.18,339.04584
World,OWID_WRL,1981-02-15,340.75,339.16998
World,OWID_WRL,1981-03-15,341.38,339.31915
World,OWID_WRL,1981-04-15,341.68,339.46
World,OWID_WRL,1981-05-15,341.43,339.54248
World,OWID_WRL,1981-06-15,340.63,339.59583
World,OWID_WRL,1981-07-15,339.22,339.66083
World,OWID_WRL,1981-08-15,338.08,339.73334
World,OWID_WRL,1981-09-15,337.98,339.81082
World,OWID_WRL,1981-10-15,339.07,339.91415
World,OWID_WRL,1981-11-15,340.18,340.01834
World,OWID_WRL,1981-12-15,340.75,340.11084
World,OWID_WRL,1982-01-15,341.37,340.21
World,OWID_WRL,1982-02-15,341.95,340.31
World,OWID_WRL,1982-03-15,342.23,340.38083
World,OWID_WRL,1982-04-15,342.52,340.45084
World,OWID_WRL,1982-05-15,342.36,340.52832
World,OWID_WRL,1982-06-15,341.49,340.6
World,OWID_WRL,1982-07-15,339.75,340.64417
World,OWID_WRL,1982-08-15,338.11,340.64667
World,OWID_WRL,1982-09-15,338.16,340.66165
World,OWID_WRL,1982-10-15,339.62,340.7075
World,OWID_WRL,1982-11-15,340.95,340.77167
World,OWID_WRL,1982-12-15,341.77,340.85666
World,OWID_WRL,1983-01-15,342.37,340.94
World,OWID_WRL,1983-02-15,342.74,341.00583
World,OWID_WRL,1983-03-15,343.04,341.07333
World,OWID_WRL,1983-04-15,343.51,341.15582
World,OWID_WRL,1983-05-15,343.84,341.27917
World,OWID_WRL,1983-06-15,343.5,341.44666
World,OWID_WRL,1983-07-15,342.14,341.64584
World,OWID_WRL,1983-08-15,340.62,341.855
World,OWID_WRL,1983-09-15,340.53,342.0525
World,OWID_WRL,1983-10-15,341.75,342.23
World,OWID_WRL,1983-11-15,342.83,342.38666
World,OWID_WRL,1983-12-15,343.49,342.53
World,OWID_WRL,1984-01-15,344.32,342.6925
World,OWID_WRL,1984-02-15,344.82,342.86584
World,OWID_WRL,1984-03-15,344.96,343.02582
World,OWID_WRL,1984-04-15,345.19,343.16583
World,OWID_WRL,1984-05-15,345.33,343.29
World,OWID_WRL,1984-06-15,344.57,343.37915
World,OWID_WRL,1984-07-15,343.2,343.4675
World,OWID_WRL,1984-08-15,342.21,343.6
World,OWID_WRL,1984-09-15,342.13,343.73334
World,OWID_WRL,1984-10-15,342.99,343.83667
World,OWID_WRL,1984-11-15,344.16,343.9475
World,OWID_WRL,1984-12-15,345,344.07333
World,OWID_WRL,1985-01-15,345.35,344.15918
World,OWID_WRL,1985-02-15,345.8,344.24084
World,OWID_WRL,1985-03-15,346.64,344.38083
World,OWID_WRL,1985-04-15,346.94,344.52667
World,OWID_WRL,1985-05-15,346.78,344.6475
World,OWID_WRL,1985-06-15,346.26,344.78833
World,OWID_WRL,1985-07-15,344.92,344.93167
World,OWID_WRL,1985-08-15,343.41,345.03168
World,OWID_WRL,1985-09-15,343.37,345.135
World,OWID_WRL,1985-10-15,344.64,345.2725
World,OWID_WRL,1985-11-15,345.79,345.40833
World,OWID_WRL,1985-12-15,346.55,345.5375
World,OWID_WRL,1986-01-15,347.11,345.68417
World,OWID_WRL,1986-02-15,347.34,345.8125
World,OWID_WRL,1986-03-15,347.71,345.90167
World,OWID_WRL,1986-04-15,348.22,346.00833
World,OWID_WRL,1986-05-15,348.32,346.13666
World,OWID_WRL,1986-06-15,347.76,346.26166
World,OWID_WRL,1986-07-15,346.29,346.37582
World,OWID_WRL,1986-08-15,344.92,346.50168
World,OWID_WRL,1986-09-15,344.86,346.62582
World,OWID_WRL,1986-10-15,346.03,346.74167
World,OWID_WRL,1986-11-15,347.3,346.8675
World,OWID_WRL,1986-12-15,347.76,346.96832
World,OWID_WRL,1987-01-15,348.02,347.04416
World,OWID_WRL,1987-02-15,348.57,347.14667
World,OWID_WRL,1987-03-15,349.29,347.27832
World,OWID_WRL,1987-04-15,349.98,347.425
World,OWID_WRL,1987-05-15,350.26,347.58667
World,OWID_WRL,1987-06-15,349.48,347.73
World,OWID_WRL,1987-07-15,347.86,347.86084
World,OWID_WRL,1987-08-15,346.61,348.00168
World,OWID_WRL,1987-09-15,346.7,348.155
World,OWID_WRL,1987-10-15,347.97,348.31668
World,OWID_WRL,1987-11-15,349.25,348.47916
World,OWID_WRL,1987-12-15,350.21,348.68335
